RAZON SOCIAL;DIRECCIÓN;MUNICIPIO;TEL-COM-1;ACTIVIDAD POR SECTORES - CIIU 1;LATITUD;LONGITUD;localizacion
BAR LA PIRAGUA DEL LLANO;CALLE 26 N 5A-11;YOPAL;3125851054;BARES Y LICORES;5,339531;-72,383234;POINT (-72383234 5339531)
CANDELARIA PUB HOUSE;CARRERA 20 N 30 - 21;YOPAL;3104886101;BARES Y LICORES;5,330698;-72,391028;POINT (-72391028 5330698)
DISTRIBUCIONES HOZKARD;CARRERA 20 N 29 - 04;YOPAL;3133488637;BARES Y LICORES;5,331759;-72,391804;POINT (-72391804 5331759)
BAR LAS PALOMAS LA CAMPIÃ‘A;CALLE 26 N. 08-05;YOPAL;3203451585;BARES Y LICORES;5,330439;-72,404386;POINT (-72404386 5330439)
LA TRAVESIA DEL LLANERO;CALLE 31 N 31-27;YOPAL;3143156712;BARES Y LICORES;5,335627;-72,380279;POINT (-72380279 5335627)
EL TROPICAL 4 ESQUINAS;CALLE 48 N 16 - 95;YOPAL;3123408161;BARES Y LICORES;5,311395;-72,400108;POINT (-72400108 5311395)
BEBIDAS FRIAS LOS PEREIRAS;CARRERA 20 N 28 - 05;YOPAL;3507373599;BARES Y LICORES;5,332557;-72,392078;POINT (-72392078 5332557)
BAR EL PRETINAZO VALLENATO;CARRERA 6 N 30 - 31;YOPAL;3144552070;BARES Y LICORES;5,325765;-72,40445;POINT (-72404450 5325765)
BAR LA POTRANCA;CALLE 36 N 12B -  28;YOPAL;3208436995;BARES Y LICORES;5,322614;-72,397793;POINT (-72397793 5322614)
ENRRUMBA 2;CARRERA 6 N 30-34;YOPAL;3107927490;BARES Y LICORES;5,325519;-72,404485;POINT (-72404485 5325519)
CAFE BAR BAHIA 19;CARRERA 19 N 25-75;YOPAL;3208947231;BARES Y LICORES;5,333849;-72,394107;POINT (-72394107 5333849)
AGORA LICORERA CAFE BAR;CALLE 40 N12-51;YOPAL;3102543815;BARES Y LICORES;5,318476;-72,397308;POINT (-72397308 5318476)
BAR EL TEKILAZO;CALLE 40 N. 4-166;YOPAL;3106733245;BARES Y LICORES;5,318822;-72,408874;POINT (-72408874 5318822)
DISCOTECA R.G;CALLE 31 N. 5-17 LOCAL 4;YOPAL;3143689248;BARES Y LICORES;5,324409;-72,405007;POINT (-72405007 5324409)
LA LLANERITA S.L.;CALLE 61 N 7A - OESTE  80;YOPAL;3212469027;BARES Y LICORES;5,30248;-72,415061;POINT (-72415061 5302480)
BSIDE BAR;CALLE 11 N 24 - 25;YOPAL;3166874601;BARES Y LICORES;5,348322;-72,39561;POINT (-72395610 5348322)
BEBIDAS J&J;CARRERA 17 N 16- 50;YOPAL;3108777732;BARES Y LICORES;5,340415;-72,399773;POINT (-72399773 5340415)
CAFE BAR CULTURA 15;DIAGONAL 15  N 9 - 03;YOPAL;3229029491;BARES Y LICORES;5,339532;-72,402108;POINT (-72402108 5339532)
LA CASA DE LOS PINOS;CARRERA 22 N 24-10;YOPAL;3204717982;BARES Y LICORES;5,336568;-72,392055;POINT (-72392055 5336568)
CAVALIER V.I.P;CALLE 17 N 19-12;YOPAL;3208073191;BARES Y LICORES;5,340856;-72,397839;POINT (-72397839 5340856)
CERVECERIA LUPE BEERHOUSE;CARRERA 23 N. 24-24;YOPAL;3007187010;BARES Y LICORES;5,336943;-72,39075;POINT (-72390750 5336943)
BAR EL DESQUITE FA;CARRERA 19 N 29 -06;YOPAL;2122093954;BARES Y LICORES;5,330816;-72,392396;POINT (-72392396 5330816)
B&M BAR RESTAURANTE;CARRERA 19 N 26-55;YOPAL;3218010779;BARES Y LICORES;5,333377;-72,393746;POINT (-72393746 5333377)
LICORERA BAR MY CONSUELO;CALLE 24 N 26 - 68;YOPAL;3132537431;BARES Y LICORES;5,338901;-72,388099;POINT (-72388099 5338901)
CARORA BAR;CARRERA 29  N 30 A   -03;YOPAL;3228895382;BARES Y LICORES;5,339773;-72,38551;POINT (-72385510 5339773)
EL CHIRIPAZO POKER;CALLE 23 N 10 - 90;YOPAL;3107714311;BARES Y LICORES;5,333826;-72,40318;POINT (-72403180 5333826)
BAR LA SOGA;CALLE 23 N 10-81;YOPAL;3204006435;BARES Y LICORES;5,33383;-72,403236;POINT (-72403236 5333830)
PLANETA BAR YOPAL;CALLE 23 N 28 - 02;YOPAL;3144817998;BARES Y LICORES;5,340319;-72,387484;POINT (-72387484 5340319)
BILLAR POOL RECUERDOS DE ELLA;CALLE 30 N 19-49;YOPAL;3202569030;BARES Y LICORES;5,33086;-72,391989;POINT (-72391989 5330860)
RANCHO Y LICORES 7/24;CALLE 16 N 21-05;YOPAL;3125806700;BARES Y LICORES;5,342658;-72,39648;POINT (-72396480 5342658)
BAR SAN JOSELITO;CALLE 37 N. 14-76;YOPAL;3104980285;BARES Y LICORES;5,321714;-72,396296;POINT (-72396296 5321714)
MANHATTAN BAR JDC;CARRERA 18 N 14 - 02;YOPAL;6327035;BARES Y LICORES;5,342672;-72,399951;POINT (-72399951 5342672)
BAR COMIDAS RÃPIDAS CIELITO LINDO;CARRERA 23 N. 24-74;YOPAL;3213947542;BARES Y LICORES;5,336892;-72,39074;POINT (-72390740 5336892)
LA GUARDERÃA BAR;CARRERA 20 N 27 - 44;YOPAL;3217570039;BARES Y LICORES;5,332903;-72,392616;POINT (-72392616 5332903)
DISTRIBUIDORA DE CERVEZA R & R;CALLE 30 NO. 12-27;YOPAL;3041694761;BARES Y LICORES;5,327958;-72,400016;POINT (-72400016 5327958)
BEER OCLOCK;CALLE 18 N 19 A - 04;YOPAL;3145968454;BARES Y LICORES;5,340197;-72,397098;POINT (-72397098 5340197)
BILLARES DIVAS;CALLE 27 N. 22-18;YOPAL;3125871716;BARES Y LICORES;5,33424;-72,390687;POINT (-72390687 5334240)
YO PAL BAR SOCIAL CLUB;CALLE 30 N 20-40;YOPAL;3184105184;BARES Y LICORES;5,33101;-72,390923;POINT (-72390923 5331010)
OLD BARR PAOLA;CARRERA 13 N 32 - 10;YOPAL;3103303685;BARES Y LICORES;5,325934;-72,398335;POINT (-72398335 5325934)
BILLARES MALDONADO YOPAL;CALLE 12 N 18-63;YOPAL;3116202311;BARES Y LICORES;5,344644;-72,400387;POINT (-72400387 5344644)
BAR MICHELANDIA;CARRERA 20 N 33-68;YOPAL;3102909550;BARES Y LICORES;5,327862;-72,38986;POINT (-72389860 5327862)
BAR LAS PALMITAS PUB;CALLE 40 N 12 - 111;YOPAL;3227723238;BARES Y LICORES;5,318656;-72,396925;POINT (-72396925 5318656)
BILLARES EL BAMBU;TRANSVERSAL 18  28-41;YOPAL;3164952612;BARES Y LICORES;5,328368;-72,411017;POINT (-72411017 5328368)
BAR LOS MANGOS YOPAL;CARRERA 30 N 25A- 34;YOPAL;3023506089;BARES Y LICORES;5,339308;-72,383995;POINT (-72383995 5339308)
LICORERA BAR SALVATORE;CALLE 21 N 21A-22;YOPAL;3209182046;BARES Y LICORES;5,338593;-72,393703;POINT (-72393703 5338593)
BAR DULIS;CALLE 21 N 14-79;YOPAL;3143217741;BARES Y LICORES;5,336013;-72,399802;POINT (-72399802 5336013)
BAR EL CHUZO DE LA MONA;CALLE 33 N 6-114;YOPAL;3205463017;BARES Y LICORES;5,323613;-72,402789;POINT (-72402789 5323613)
RESTAURANTE BAR LA SEDE J&E;CALLE 36 N 17 - 74;YOPAL;3212815322;BARES Y LICORES;5,329954;-72,381927;POINT (-72381927 5329954)
LICORERA Y CIGARRERIA LOS CRIOLLOS;CALLE 24 N 21 - 32;YOPAL;3212635469;BARES Y LICORES;5,336243;-72,392921;POINT (-72392921 5336243)
CANTINA BAR JYD;CALLE 11 N 18 - 36;YOPAL;3162243447;BARES Y LICORES;5,345002;-72,400915;POINT (-72400915 5345002)
CORONA CAFÃ‰ BAR PUB;CARRERA 19A N 26 - 04;YOPAL;3214734511;BARES Y LICORES;5,327495;-72,38991;POINT (-72389910 5327495)
BAR EL CHIQUIS;CARRERA 13 N 32-10;YOPAL;3128194422;BARES Y LICORES;5,325945;-72,398463;POINT (-72398463 5325945)
CATRINA PUB;CARRERA 23 N 24-14;YOPAL;3133073936;BARES Y LICORES;5,337307;-72,390964;POINT (-72390964 5337307)
BEER MONSTER BAR;CARRERA 20 N  27- 12;YOPAL;3202078414;BARES Y LICORES;5,333113;-72,392726;POINT (-72392726 5333113)
LICOR COMPANY EXPRESS;CARRERA 20 N 27-18;YOPAL;3104845998;BARES Y LICORES;5,333097;-72,3926;POINT (-72392600 5333097)
WALLS CAFE BAR;CALLE 22 N. 10-40;YOPAL;3132295538;BARES Y LICORES;5,335568;-72,39789;POINT (-72397890 5335568)
CAFE BAR LAS TOPIAS;CARRERA 20 N  29-15 CASA 1;YOPAL;3115597827;BARES Y LICORES;5,331724;-72,391629;POINT (-72391629 5331724)
TRAKALOSA BAR;CALLE 25  N 21-04;YOPAL;3102929617;BARES Y LICORES;5,335354;-72,392646;POINT (-72392646 5335354)
BAR CERVEZA PA ESTA MESA;CARRERA 13 N 33B - 33;YOPAL;3203479983;BARES Y LICORES;5,325117;-72,398177;POINT (-72398177 5325117)
LOS ROLOS DE LA CAMPIÃ‘A;CARRERA 9 N 25 - 58;YOPAL;3133938991;BARES Y LICORES;5,330938;-72,404339;POINT (-72404339 5330938)
THE VILLA JAMING BAR;CARRERA 21 N 23 - 12 LOCAL 1;YOPAL;3053479858;BARES Y LICORES;5,336771;-72,393628;POINT (-72393628 5336771)
BAR STATION NEW YORK & NEW YORK;CARRERA 20 N 21-70;YOPAL;3115719622;BARES Y LICORES;5,337563;-72,394901;POINT (-72394901 5337563)
THE PITS BAR;CALLLE 31 N 5 - 50;YOPAL;3207682457;BARES Y LICORES;5,324377;-72,405115;POINT (-72405115 5324377)
LICORERA MW;CALLE 19 N 23-12;YOPAL;3203881741;BARES Y LICORES;5,341331;-72,393163;POINT (-72393163 5341331)
CAFE BAR OPITAS;TRANSVERSAL 6 N 38A - 15;YOPAL;3123329828;BARES Y LICORES;5,318883;-72,401669;POINT (-72401669 5318883)
BAR WINNING WARRIOR;CALLE 28 N 18-70;YOPAL;313615941;BARES Y LICORES;5,331758;-72,393455;POINT (-72393455 5331758)
BAR KAOS 1.0;CALLE 27 N 18-15;YOPAL;3118648254;BARES Y LICORES;5,33271;-72,394292;POINT (-72394292 5332710)
BAR LA FRAGUA YOPAL;CALLE 27 N 19-76;YOPAL;3203459666;BARES Y LICORES;5,333069;-72,39335;POINT (-72393350 5333069)
DISCOTECA AMNESIA CLUB 2;CARRERA 7 N 27 - 40;YOPAL;3122837523;BARES Y LICORES;5,328653;-72,405601;POINT (-72405601 5328653)
"VIDEO BAR "" DESPECHADOS""";CARRERA 6 N 24-96;YOPAL;3132953040;BARES Y LICORES;5,330246;-72,408246;POINT (-72408246 5330246)
CHAPETOS ICE;CARRERA 25  N 12-75;YOPAL;3142492206;BARES Y LICORES;5,347373;-72,394079;POINT (-72394079 5347373)
BEER POINT BAR;CARRERA 19 N 29-06;YOPAL;3124912840;BARES Y LICORES;5,331134;-72,392721;POINT (-72392721 5331134)
BILLAR POOL LAS VEGAS YOPAL;CALLE 23 N 20 - 11;YOPAL;3102895358;BARES Y LICORES;5,336695;-72,394267;POINT (-72394267 5336695)
BAR BEER  LA CLAVE;CARRERA 20 N 30-60;YOPAL;3107869902;BARES Y LICORES;5,330454;-72,391322;POINT (-72391322 5330454)
MILAN BAR;CARRERA 28 N 35A - 04;YOPAL;3115182893;BARES Y LICORES;5,336482;-72,385309;POINT (-72385309 5336482)
LA MANZANA LLANERA;CALLE 11 N 18-04;YOPAL;3003149473;BARES Y LICORES;5,345013;-72,401037;POINT (-72401037 5345013)
ESTADERO LA 40 AMANECER LLANERO;CALLE 40 N 32 - 28;YOPAL;3218619925;BARES Y LICORES;53,176804;-72,407466;POINT (-72407466 53176804)
SCARLETT YOPAL;CALLE 46 N 09-07;YOPAL;3125569494;BARES Y LICORES;5,312651;-72,397882;POINT (-72397882 5312651)
BOROLO;CALLE 30 Nro. 26 - 29;YOPAL;3204919289;BARES Y LICORES;5,335312;-72,38606;POINT (-72386060 5335312)
CANNIBAL CLUB SAS;CALLE  9 N 22-48;YOPAL;3016925489;BARES Y LICORES;5,348871;-72,398251;POINT (-72398251 5348871)
JENN BEER KING;CARRERA 21 N 24-04;YOPAL;3124327916;BARES Y LICORES;5,335978;-72,393255;POINT (-72393255 5335978)
MARTINI BAR 1800;CALLE 30 N 13A - 20;YOPAL;3102834389;BARES Y LICORES;5,330974;-72,391323;POINT (-72391323 5330974)
COCACABANA;CARRERA 19 N 26 - 25;YOPAL;3115372313;BARES Y LICORES;5,333431;-72,393962;POINT (-72393962 5333431)
BILLARES CHICO FIJO;CARRERA 29 N 35 - 02;YOPAL;3103088162;BARES Y LICORES;5,332059;-72,380769;POINT (-72380769 5332059)
NUEVO PUNTO BAR;CARRERA 19 N26-25;YOPAL;3134090994;BARES Y LICORES;5,333345;-72,393887;POINT (-72393887 5333345)
BAR ALCARAVAN  LA 43;CALLE 43 N 6B-26;YOPAL;3134577655;BARES Y LICORES;5,315505;-72,403895;POINT (-72403895 5315505)
HEY VENGA QUE NO ES PAESO JMBC;CALLE 46C N 11B-34;YOPAL;3209003879;BARES Y LICORES;5,312647;-72,396975;POINT (-72396975 5312647)
DM BAR YOPAL CASANARE;CARRERA 6 N 30-22;YOPAL;3186992154;BARES Y LICORES;5,32568;-72,404654;POINT (-72404654 5325680)
COPA BAR VICTORIA;CALLE 34 A N 7-03;YOPAL;3123910735;BARES Y LICORES;5,322752;-72,401902;POINT (-72401902 5322752)
TIENDA SOL Y SOMBRA DE LA 23;TRANSVERSAL  23 N 36B-16;YOPAL;3102913689;BARES Y LICORES;5,33006;-72,384995;POINT (-72384995 5330060)
SENSAI JAPANESE & SUSHI  BAR;CARRERA 23 N 9 - 13;YOPAL;3106259135;BARES Y LICORES;5,349306;-72,39737;POINT (-72397370 5349306)
J.Q SERVICIOS Y DISTRIBUIDORA EL REY;CARRERA 32 N 52 89;YOPAL;3213109337;BARES Y LICORES;5,336356;-72,38014;POINT (-72380140 5336356)
RICH BEER YOPAL;CARRERA 14B N 43-54;YOPAL;3184254039;BARES Y LICORES;5,315557;-72,394531;POINT (-72394531 5315557)
DISTRIBUIDORA JEDREK LICORERA BAR;CARRERA 14B BIS N 39 - 04;YOPAL;3214318593;BARES Y LICORES;5,320422;-72,395459;POINT (-72395459 5320422)
LA PUESTA DEL SOL;CARRERA 17 N 16 - 43;YOPAL;3205740931;BARES Y LICORES;5,340712;-72,399472;POINT (-72399472 5340712)
DISTRILICORERA BAR PUNTO 30;CALLE 30 N 31A 04;YOPAL;3114803215;BARES Y LICORES;5,336673;-72,380732;POINT (-72380732 5336673)
DRINK HOUSE LICORERA;CALLE 16 N 16 - 10;YOPAL;3227829334;BARES Y LICORES;5,340403;-72,400365;POINT (-72400365 5340403)
LICORERA BAR LA MANGA;CARRERA  6 N 9-54;YOPAL;3123431239;BARES Y LICORES;5,312048;-72,402942;POINT (-72402942 5312048)
CLUB DE BILLARES BORA BORA;CARRERA 21 N 16-72;YOPAL;3212424542;BARES Y LICORES;5,341803;-72,396495;POINT (-72396495 5341803)
LICORERA 24 HORAS LOS GUARITOS;CALLE 24 N 29 - 26;YOPAL;3127682869;BARES Y LICORES;5,340199;-72,385619;POINT (-72385619 5340199)
EL VELERO DK 14;TRANSVERSAL 15 N 35A - 28;YOPAL;3136633571;BARES Y LICORES;5,323737;-72,393624;POINT (-72393624 5323737)
NEON BAR .3;CARRERA 43 B N 35 A -21;YOPAL;3185568978;BARES Y LICORES;5,315545;-72,399454;POINT (-72399454 5315545)
CANCHAS DE TEJO BAR  EL PARIENTICO;CALLE 57A 1E OESTE CS 26;YOPAL;3046785158;BARES Y LICORES;5,305055;-72,416194;POINT (-72416194 5305055)
LICORERA BAR LA TINAJA;CARRERA 27  N 22a-35;YOPAL;3138165789;BARES Y LICORES;5,340037;-72,388256;POINT (-72388256 5340037)
LA EMBAJADA BOYACENCE K.C;CALLE 23 N 24 74;YOPAL;3125921626;BARES Y LICORES;5,338718;-72,390011;POINT (-72390011 5338718)
DISTRIBUIDORA LA PANTERA ROSA 4;CARRERA 9 N 29 - 57;YOPAL;3203061790;BARES Y LICORES;5,327692;-72,403299;POINT (-72403299 5327692)
LICORERA PIEDEMONTE 2222;CARRERA 17 N 22 - 22;YOPAL;3124545213;BARES Y LICORES;5,335739;-72,39743;POINT (-72397430 5335739)
TIENDA JERRY'S;CALLE 36 N 13 70;YOPAL;3156652201;BARES Y LICORES;5,322594;-72,397043;POINT (-72397043 5322594)
DISTRIBUIDORA MAXILICOR E&M;DIAGONAL 9 N. 9 - 116;YOPAL;3202728710;BARES Y LICORES;5,349829;-72,395465;POINT (-72395465 5349829)
IBIZA LA CASA DE LA CERVEZA;CARRERA 21 N 22 54;YOPAL;3115449191;BARES Y LICORES;5,337313;-72,393868;POINT (-72393868 5337313)
LICORERA BAR PACEL;CALLE 60 N. 3  12;YOPAL;3215098341;BARES Y LICORES;5,302113;-72,411631;POINT (-72411631 5302113)
LICORERA STORE;CARRERA 11 N 42 - 04;YOPAL;3115840398;BARES Y LICORES;5,316839;-72,398682;POINT (-72398682 5316839)
EL ESCONDITE DE RAFA DEL LLANO;CARRERA 6 N 30 45;YOPAL;3102490731;BARES Y LICORES;5,325709;-72,404213;POINT (-72404213 5325709)
TIENDA JR YOPAL;CARRERA 21 N 28 48;YOPAL;3123915208;BARES Y LICORES;5,332685;-72,391374;POINT (-72391374 5332685)
LICORERA JAZBA;CALLE 37 B N 14 09;YOPAL;3102560824;BARES Y LICORES;5,321544;-72,396006;POINT (-72396006 5321544)
LUNA BAR LICORERIA;CALLE 46 N 11 43;YOPAL;3213012103;BARES Y LICORES;5,313619;-72,396586;POINT (-72396586 5313619)
BAR MATIUS;CALLE 36 N  42  97;YOPAL;3138836942;BARES Y LICORES;5,328209;-72,385029;POINT (-72385029 5328209)
TOKYO LICORERA BAR;CALLE 34 N 20 - 30;YOPAL;3143616129;BARES Y LICORES;5,327786;-72,389292;POINT (-72389292 5327786)
LICORERA BAR JOCANA;CARRERA 6 N 28 - 22;YOPAL;3232415227;BARES Y LICORES;5,327335;-72,405946;POINT (-72405946 5327335)
BAR DUBAI A.R.C.O.;CALLE 36 N 13 69;YOPAL;3125677527;BARES Y LICORES;5,323068;-72,397193;POINT (-72397193 5323068)
LICORERA JMS 1974;CALLE 41 N 15 - 32;YOPAL;3123549943;BARES Y LICORES;5,316898;-72,404032;POINT (-72404032 5316898)
BAR GEMINIS D-M;CARRERA 10 N. 46 - 04;YOPAL;3133532776;BARES Y LICORES;5,313075;-72,399485;POINT (-72399485 5313075)
LA TABERNA LICORERA BAR;CARRERA 6 N 30 - 96;YOPAL;3102438828;BARES Y LICORES;5,325124;-72,404367;POINT (-72404367 5325124)
TIENDA LICORERA LOS ANGELES;CARRERA 21 N 21  65;YOPAL;3138738248;BARES Y LICORES;5,338228;-72,394003;POINT (-72394003 5338228)
DON GATO BAR Y LICORERA;CARRERA 14 N 28 - 59;YOPAL;3134801814;BARES Y LICORES;5,329958;-72,398648;POINT (-72398648 5329958)
VINOS & BOMBONES;DIAGONAL 9 N 9 - 110;YOPAL;3202319836;BARES Y LICORES;5,34987;-72,395513;POINT (-72395513 5349870)
LICORERA MORALES EL LLANO;CARRERA 20 N 22 78;YOPAL;3123783101;BARES Y LICORES;5,336718;-72,39443;POINT (-72394430 5336718)
LICORERA BAR - 16 DC;CALLE 06 N 04 03;YOPAL;3114547259;BARES Y LICORES;5,335535;-72,385614;POINT (-72385614 5335535)
LICORERA YEIK ORTIZ;CALLE 40 A N 6 02;YOPAL;3003545865;BARES Y LICORES;5,318521;-72,402374;POINT (-72402374 5318521)
LICORERA LA 17 DEL LLANO;CARRERA 17 N 22 41;YOPAL;3202950153;BARES Y LICORES;5,335668;-72,397028;POINT (-72397028 5335668)
